"name","classification","number","percent"
"quantreg","accessed 2+ times, forced once",198836,21.6357966255139
"quantreg","accessed once, forced once",579064,63.0092686292048
"quantreg","accessed 1+ times, never forced",6859,0.746343363648432
"quantreg","never accessed",134255,14.6085913816329
"R6","accessed 2+ times, forced 2+ times",0,0
"R6","accessed 2+ times, forced once",244740,20.4945179634777
"R6","accessed once, forced once",734201,61.4819628311811
"R6","accessed 1+ times, never forced",21989,1.84135799419347
"R6","never accessed",193243,16.1821612111478
"RcppArmadillo","accessed 2+ times, forced 2+ times",0,0
"RcppArmadillo","accessed 2+ times, forced once",285844,21.1454982852442
"RcppArmadillo","accessed once, forced once",846801,62.6426620584763
"RcppArmadillo","accessed 1+ times, never forced",10296,0.761653385570012
"RcppArmadillo","never accessed",208855,15.4501862707095
"RcppEigen","accessed 2+ times, forced 2+ times",0,0
"RcppEigen","accessed 2+ times, forced once",19,22.3529411764706
"RcppEigen","accessed once, forced once",49,57.6470588235294
"RcppEigen","accessed 1+ times, never forced",0,0
"RcppEigen","never accessed",17,20
"Rcpp","accessed 2+ times, forced 2+ times",0,0
"Rcpp","accessed 2+ times, forced once",24777,20.0657601697455
"Rcpp","accessed once, forced once",82639,66.9255500935382
"Rcpp","accessed 1+ times, never forced",579,0.468905643874667
"Rcpp","never accessed",15484,12.5397840928417
"readr","accessed 2+ times, forced 2+ times",0,0
"readr","accessed 2+ times, forced once",13499,20.7926434798682
"readr","accessed once, forced once",46509,71.6382736206525
"readr","accessed 1+ times, never forced",392,0.603801484858754
"readr","never accessed",4522,6.96528141462062
"readxl","accessed 2+ times, forced 2+ times",0,0
"readxl","accessed 2+ times, forced once",24615,19.9260110740537
"readxl","accessed once, forced once",88488,71.6316420036914
"readxl","accessed 1+ times, never forced",1078,0.872648382605317
"readxl","never accessed",9351,7.56969853964965
"rivr","accessed 2+ times, forced 2+ times",0,0
"rivr","accessed 2+ times, forced once",23256,20.0084314855761
"rivr","accessed once, forced once",78244,67.317669124416
"rivr","accessed 1+ times, never forced",3504,3.01468627130456
"rivr","never accessed",11227,9.65921311870327
"rlang","accessed 2+ times, forced 2+ times",0,0
"rlang","accessed 2+ times, forced once",1404,20.6440229378033
"rlang","accessed once, forced once",4447,65.3874430230848
