"name","type","no.of.forces","number","percent_within_type","percent_overall"
"checkmate","BCODE",1,540574,94.9942009629916,69.684137523864
"colorspace","NIL",0,503,8.004455760662,0.0895408140559497
"colorspace","NIL",1,5781,91.995544239338,1.02909631422951
"colorspace","SYM",0,18240,85.4372570143801,3.24696709419587
"colorspace","SYM",1,3109,14.5627429856199,0.553444117097311
"colorspace","CLOS",0,0,0,0
"colorspace","CLOS",1,271,100,0.0482416711911776
"colorspace","ENV",0,0,0,0
"colorspace","ENV",1,1347,100,0.239784247581241
"colorspace","PROM",0,2710,85.4619993692841,0.482416711911776
"colorspace","PROM",1,461,14.5380006307159,0.0820642450890513
"colorspace","LANG",0,43295,71.4344640971489,7.70709651004441
"colorspace","LANG",1,17313,28.5655359028511,3.08194853628361
"colorspace","LGL",0,9221,18.60122649883,1.64146291532786
"colorspace","LGL",1,40351,81.39877350117,7.1830246281742
"colorspace","INT",0,680,16.8067226890756,0.121049211845021
"colorspace","INT",1,3366,83.1932773109244,0.599193598632856
"colorspace","REAL",0,1424,32.1372150756037,0.253491290687221
"colorspace","REAL",1,3007,67.8627849243963,0.535286735320558
"colorspace","STR",0,14485,14.5819701011728,2.57852622584579
"colorspace","STR",1,84850,85.4180298988272,15.104449448603
"colorspace","VEC",0,2438,91.5852742299023,0.433997027173768
"colorspace","VEC",1,224,8.41472577009767,0.0398750344901247
"colorspace","BCODE",0,17753,4.23267934586948,3.16027449688921
"colorspace","BCODE",1,401674,95.7673206541305,71.5034134097605
"curl","NIL",0,43,13.5220125786164,0.260495547343551
"curl","NIL",1,275,86.4779874213836,1.66595989580178
"curl","SYM",0,119,47.2222222222222,0.720906282183316
"curl","SYM",1,133,52.7777777777778,0.805718785969589
"curl","CLOS",0,1,100,0.00605803598473375
"curl","CLOS",1,0,0,0
"curl","PROM",0,54,34.6153846153846,0.327133943175622
"curl","PROM",1,102,65.3846153846154,0.617919670442842
"curl","LANG",0,769,39.4358974358974,4.65862967226025
"curl","LANG",1,1181,60.5641025641026,7.15454049797056
"curl","LGL",0,208,16.3908589440504,1.26007148482462
"curl","LGL",1,1061,83.6091410559496,6.42757617980251
"curl","INT",0,8,2.7972027972028,0.04846428787787
"curl","INT",1,278,97.2027972027972,1.68413400375598
"curl","REAL",0,2,0.597014925373134,0.0121160719694675
"curl","REAL",1,333,99.4029850746269,2.01732598291634
"curl","STR",0,147,4.83552631578947,0.890531289755861
"curl","STR",1,2893,95.1644736842105,17.5258981038347
"curl","VEC",0,84,91.304347826087,0.508875022717635
"curl","VEC",1,8,8.69565217391304,0.04846428787787
"curl","BCODE",0,122,1.17715167888846,0.739080390137517
"curl","BCODE",1,10242,98.8228483211115,62.0464045556431
"data","NIL",0,438,38.8297872340426,0.593680957479973
"data","NIL",1,690,61.1702127659574,0.935250823427355
"data","SYM",0,973,77.5298804780876,1.31883920463017
"data","SYM",1,282,22.4701195219124,0.382232945226832
"data","ENV",0,0,0,0
"data","ENV",1,3,100,0.00406630792794502
"data","PROM",0,109,55.8974358974359,0.147742521382003
"data","PROM",1,86,44.1025641025641,0.116567493934424
"data","LANG",0,7203,76.2060939483707,9.763205334996
"data","LANG",1,2249,23.7939060516293,3.04837550998279
"data","LGL",0,1312,16.898505924781,1.77833200048796
"data","LGL",1,6452,83.101494075219,8.74527291703376
"data","INT",0,25,3.26370757180157,0.0338858993995419
"data","INT",1,741,96.7362924281984,1.00437805820242
"data","REAL",0,10,1.88323917137476,0.0135543597598167
"data","REAL",1,521,98.1167608286252,0.706182143486452
"data","STR",0,316,2.89191909947836,0.428317768410209
"data","STR",1,10611,97.1080809005216,14.3825311411415
"data","VEC",0,398,98.2716049382716,0.539463518440707
"data","VEC",1,7,1.72839506172839,0.00948805183187172
"data","BCODE",0,2838,5.16309785871523,3.84672729983599
"data","BCODE",1,52129,94.8369021412848,70.6575219919487
"DBI","NIL",0,102,8.6734693877551,0.0984517972279063
"DBI","NIL",1,1074,91.3265306122449,1.03663951198795
"DBI","SYM",0,1359,57.365977205572,1.3117254160071
"DBI","SYM",1,1010,42.634022794428,0.974865835295935
"DBI","CLOS",0,0,0,0
"DBI","CLOS",1,72,100,0.0694953862785221
"DBI","ENV",0,0,0,0
"DBI","ENV",1,34,100,0.0328172657426354
"DBI","PROM",0,283,61.5217391304348,0.273155476622524
"DBI","PROM",1,177,38.4782608695652,0.170842824601367
"DBI","LANG",0,12914,85.0724637681159,12.4647697000116
"DBI","LANG",1,2266,14.9275362318841,2.18717424037682
"DBI","LGL",0,1878,16.230230749287,1.81267132543145
"DBI","LGL",1,9693,83.769769250713,9.35581637774603
"DBI","INT",0,0,0,0
"DBI","INT",1,635,100,0.612910698428632
"DBI","REAL",0,0,0,0
"DBI","REAL",1,347,100,0.334929153314544
"DBI","STR",0,648,4.36334253585617,0.625458476506699
"DBI","STR",1,14203,95.6366574641438,13.7089301571368
"DBI","VEC",0,71,77.1739130434783,0.0685301725802093
"DBI","VEC",1,21,22.8260869565217,0.0202694876645689
"DBI","BCODE",0,5187,6.54469749542616,5.00656345314853
"DBI","BCODE",1,74068,93.4553025045739,71.491448206633
"digest","NIL",0,178,10.7617896009674,0.362097725700802
"digest","NIL",1,1476,89.2382103990327,3.00256316367631
"digest","SYM",0,352,47.891156462585,0.716058423857765
"digest","SYM",1,383,52.108843537415,0.779120387322511
"digest","PROM",0,441,28.4332688588008,0.897107286708166
"digest","PROM",1,1110,71.5667311411992,2.25802514341511
"digest","LANG",0,763,7.81522073133258,1.55213800398714
"digest","LANG",1,9000,92.1847792686674,18.308311973636
"digest","LGL",0,726,13.8628986060722,1.47687049920664
"digest","LGL",1,4511,86.1371013939278,9.17653281256357
"digest","INT",0,124,8.94015861571738,0.252247853858985
"digest","INT",1,1263,91.0598413842826,2.56926644696692
"digest","REAL",0,0,0,0
"digest","REAL",1,2353,100,4.78660645266284
"digest","STR",0,362,7.95954265611258,0.73640099271736
"digest","STR",1,4186,92.0404573438874,8.51539932462671
"digest","VEC",0,76,92.6829268292683,0.154603523332926
"digest","VEC",1,6,7.31707317073171,0.0122055413157574
