"name","function_id","function_name","number","percent"
"colorspace",1337,"kernlab::nSV<-",1,0.000127614990677725
"colorspace",1289,"kernlab::nclass<-",1,0.000127614990677725
"colorspace",1323,"kernlab::obj<-",1,0.000127614990677725
"colorspace",1327,"kernlab::param<-",1,0.000127614990677725
"colorspace",1294,"kernlab::prior<-",2,0.00025522998135545
"colorspace",1380,"kernlab::prob.model<-",1,0.000127614990677725
"colorspace",1368,"kernlab::scaling<-",1,0.000127614990677725
"colorspace",1382,"kernlab::terms<-",1,0.000127614990677725
"colorspace",1258,"kernlab::type<-",1,0.000127614990677725
"colorspace",1315,"kernlab::xmatrix<-",1,0.000127614990677725
"colorspace",1333,"kernlab::ymatrix<-",1,0.000127614990677725
"colorspace",598,"length<-",2,0.00025522998135545
"colorspace",1286,"lev<-",1,0.000127614990677725
"colorspace",162,"levels<-",52,0.0066359795152417
"colorspace",606,"methods::as<-",2,0.00025522998135545
"colorspace",456,"methods::packageSlot<-",8,0.0010209199254218
"colorspace",668,"methods::slot<-",44,0.0056150595898199
"colorspace",1255,"n.action<-",1,0.000127614990677725
"colorspace",1336,"nSV<-",1,0.000127614990677725
"colorspace",78,"names<-",1890,0.2411923323809
"colorspace",1288,"nclass<-",1,0.000127614990677725
"colorspace",1322,"obj<-",1,0.000127614990677725
"colorspace",907,"oldClass<-",116,0.0148033389186161
"colorspace",1326,"param<-",1,0.000127614990677725
"colorspace",361,"parent.env<-",851,0.108600357066744
"colorspace",362,"parent.env<-",856,0.109238432020133
"colorspace",1293,"prior<-",2,0.00025522998135545
"colorspace",1379,"prob.model<-",1,0.000127614990677725
"colorspace",1367,"scaling<-",1,0.000127614990677725
"colorspace",163,"storage.mode<-",29,0.00370083472965402
"colorspace",1381,"terms<-",1,0.000127614990677725
"colorspace",1257,"type<-",1,0.000127614990677725
"colorspace",1314,"xmatrix<-",1,0.000127614990677725
"colorspace",1332,"ymatrix<-",1,0.000127614990677725
"colorspace",416,"assign",680,0.086778193660853
"colorspace",332,"assignNativeRoutines",9,0.00114853491609952
"colorspace",541,"assignWrapped",333,0.0424957918956824
"colorspace",415,"base::assign",680,0.086778193660853
"colorspace",467,"methods::.assignOverBinding",6,0.00076568994406635
"colorspace",101,"base::sprintf",83,0.0105920442262512
"curl",292,"<anonymous>",2405,10.5579700601431
"curl",475,"<anonymous>",7,0.0307300583871109
"curl",505,"<anonymous>",1,0.00439000834101585
"curl",553,"<anonymous>",3,0.0131700250230475
"curl",159,"base::eval",131,0.575091092673076
"curl",266,"base::eval.parent",2,0.0087800166820317
"curl",164,"eval",131,0.575091092673076
"curl",88,"forceAndCall",6,0.0263400500460951
"curl",269,"<-",78,0.342420650599236
"curl",322,"[<-",16,0.0702401334562536
"curl",185,"attr<-",10,0.0439000834101585
"curl",34,"attributes<-",54,0.237060450414856
"curl",348,"base::body<-",3,0.0131700250230475
"curl",346,"body<-",3,0.0131700250230475
"curl",121,"class<-",17,0.0746301417972694
"curl",86,"dim<-",6,0.0263400500460951
"curl",87,"dimnames<-",6,0.0263400500460951
"curl",176,"levels<-",5,0.0219500417050792
"curl",30,"names<-",81,0.355590675622284
"curl",484,"oldClass<-",3,0.0131700250230475
"curl",295,"parent.env<-",21,0.0921901751613328
"curl",296,"parent.env<-",21,0.0921901751613328
"curl",177,"storage.mode<-",5,0.0219500417050792
"curl",327,"assign",36,0.158040300276571
