"name","strictness_ratio","number","percent"
"ggplot2","2/4",1318,0.734896428670997
"ggplot2","3/4",1629,0.908305221779252
"ggplot2","4/4",2141,1.19378850818255
"ggplot2","0/5",3,0.00167275363126934
"ggplot2","2/5",475,0.264852658284312
"ggplot2","3/5",19,0.0105941063313725
"ggplot2","4/5",783,0.436588697761298
"ggplot2","5/5",1431,0.797903482115476
"ggplot2","1/6",4,0.00223033817502579
"ggplot2","3/6",3,0.00167275363126934
"ggplot2","4/6",15,0.00836376815634671
"ggplot2","5/6",18,0.010036521787616
"ggplot2","6/6",236,0.131589952326522
"ggplot2","2/7",1,0.000557584543756447
"ggplot2","6/7",3,0.00167275363126934
"ggplot2","7/7",28,0.0156123672251805
"ggplot2","4/8",1,0.000557584543756447
"ggplot2","6/8",3,0.00167275363126934
"ggplot2","7/8",6,0.00334550726253868
"ggplot2","8/8",5,0.00278792271878224
"ggplot2","7/9",4,0.00223033817502579
"ggplot2","9/9",6,0.00334550726253868
"ggplot2","10/10",18,0.010036521787616
"ggplot2","7/11",4,0.00223033817502579
"ggplot2","9/11",4,0.00223033817502579
"ggplot2","11/11",76,0.04237642532549
"ggplot2","11/12",36,0.0200730435752321
"ggplot2","12/12",13,0.00724859906883381
"ggplot2","14/14",6,0.00334550726253868
"ggplot2","13/15",4,0.00223033817502579
"ggplot2","15/16",1,0.000557584543756447
"ggplot2","17/18",6,0.00334550726253868
"ggplot2","42/44",4,0.00223033817502579
"ggplot2","59/59",1,0.000557584543756447
"gridExtra","0/0",1947940,68.3234323270282
"gridExtra","0/1",26301,0.922499971063364
"gridExtra","1/1",424122,14.8759565312093
"gridExtra","0/2",5151,0.180669835783711
"gridExtra","1/2",74773,2.62264135722295
"gridExtra","2/2",187222,6.56675752185944
"gridExtra","0/3",364,0.0127671947632054
"gridExtra","1/3",2618,0.0918255931045924
"gridExtra","2/3",32726,1.14785498851829
"gridExtra","3/3",54316,1.90511799658863
"gridExtra","0/4",48,0.00168358612262049
"gridExtra","1/4",60,0.00210448265327561
"gridExtra","2/4",1578,0.0553478937811485
"gridExtra","3/4",7245,0.25411628038303
"gridExtra","4/4",48589,1.70424512733348
"gridExtra","1/5",50,0.00175373554439634
"gridExtra","2/5",611,0.0214306483525233
"gridExtra","3/5",479,0.016800786515317
"gridExtra","4/5",12333,0.432576409380802
"gridExtra","5/5",12224,0.428753265894018
"gridExtra","1/6",52,0.00182388496617219
"gridExtra","2/6",28,0.000982091904861951
"gridExtra","3/6",8,0.000280597687103415
"gridExtra","4/6",29,0.00101716661574988
"gridExtra","5/6",301,0.010557487977266
"gridExtra","6/6",2321,0.0814084039708782
"gridExtra","2/7",1,3.50747108879268e-05
"gridExtra","4/7",14,0.000491045952430976
"gridExtra","5/7",20,0.000701494217758537
"gridExtra","6/7",45,0.00157836198995671
"gridExtra","7/7",1224,0.0429314461268224
"gridExtra","3/8",2,7.01494217758537e-05
"gridExtra","4/8",7,0.000245522976215488
"gridExtra","5/8",2,7.01494217758537e-05
"gridExtra","6/8",7,0.000245522976215488
"gridExtra","7/8",1028,0.0360568027927888
"gridExtra","8/8",738,0.02588513663529
"gridExtra","4/9",24,0.000841793061310244
"gridExtra","5/9",12,0.000420896530655122
"gridExtra","8/9",96,0.00336717224524098
"gridExtra","9/9",311,0.0109082350861452
"gridExtra","2/10",24,0.000841793061310244
"gridExtra","4/10",12,0.000420896530655122
"gridExtra","6/10",50,0.00175373554439634
"gridExtra","9/10",4,0.000140298843551707
"gridExtra","10/10",779,0.027323199781695
"gridExtra","5/11",2,7.01494217758537e-05
"gridExtra","7/11",75,0.00263060331659451
"gridExtra","10/11",389,0.0136440625354035
"gridExtra","11/11",1340,0.047000112589822
"gridExtra","5/12",1,3.50747108879268e-05
"gridExtra","6/12",4,0.000140298843551707
"gridExtra","11/12",91,0.00319179869080134
"gridExtra","12/12",470,0.0164851141173256
"gridExtra","7/13",2,7.01494217758537e-05
"gridExtra","11/13",24,0.000841793061310244
"gridExtra","12/13",18,0.000631344795982683
"gridExtra","13/13",26,0.000911942483086097
"gridExtra","5/14",11,0.000385821819767195
"gridExtra","7/14",4,0.000140298843551707
"gridExtra","12/14",4,0.000140298843551707
"gridExtra","13/14",63,0.00220970678593939
"gridExtra","14/14",1097,0.0384769578440557
"gridExtra","1/15",4,0.000140298843551707
"gridExtra","2/15",25,0.000876867772198171
"gridExtra","10/15",1,3.50747108879268e-05
"gridExtra","13/15",47,0.00164851141173256
"gridExtra","14/15",971,0.0340575442721769
"gridExtra","15/15",418,0.0146612291511534
"gridExtra","1/16",2,7.01494217758537e-05
"gridExtra","14/16",4,0.000140298843551707
"gridExtra","1/17",1,3.50747108879268e-05
"gridExtra","14/17",1,3.50747108879268e-05
"gridExtra","15/17",1,3.50747108879268e-05
"gridExtra","16/17",8,0.000280597687103415
"gridExtra","17/17",1,3.50747108879268e-05
"gridExtra","17/18",28,0.000982091904861951
"gridExtra","18/18",3,0.00010522413266378
"gridExtra","18/19",3,0.00010522413266378
"gridExtra","19/19",2,7.01494217758537e-05
"gridExtra","1/20",1,3.50747108879268e-05
"gridExtra","16/22",1,3.50747108879268e-05
"gridExtra","22/22",2,7.01494217758537e-05
"gridExtra","22/24",1,3.50747108879268e-05
"gridExtra","24/24",2,7.01494217758537e-05
"gridExtra","28/28",1,3.50747108879268e-05
"gridExtra","30/30",6,0.000210448265327561
"gridExtra","30/31",1,3.50747108879268e-05
"gridExtra","32/32",1,3.50747108879268e-05
"gridExtra","34/34",2,7.01494217758537e-05
"gridExtra","40/40",1,3.50747108879268e-05
"gridExtra","41/41",3,0.00010522413266378
