"name","no.of.evaluations","number","percent"
"gamclass","5",64276,1.19193542823891
"gamclass","6",19612,0.363685319849111
"gamclass","7",10532,0.195305618430086
"gamclass","8",6289,0.116623341654653
"gamclass","9",5186,0.0961692876166372
"gamclass","10",2031,0.0376629045795199
"gamclass",">10",9740,0.180618754605871
"gdata","0",1932,9.83106045186241
"gdata","1",12871,65.4946061469571
"gdata","2",3743,19.0464074903318
"gdata","3",471,2.39670262568695
"gdata","4",312,1.58762466924486
"gdata","5",216,1.09912477101567
"gdata","6",55,0.279869733360472
"gdata","7",5,0.0254427030327702
"gdata","8",9,0.0457968654589864
"gdata","9",6,0.0305312436393242
"gdata","10",1,0.00508854060655404
"gdata",">10",31,0.157744758803175
"ggplot2","0",15529,10.4407167109288
"ggplot2","1",98737,66.3845093622886
"ggplot2","2",25593,17.2071133223518
"ggplot2","3",5886,3.9573738528255
"ggplot2","4",1209,0.812855077822974
"ggplot2","5",1366,0.918411940699903
"ggplot2","6",151,0.101522842639594
"ggplot2","7",19,0.012774397418227
"ggplot2","8",32,0.0215147745991192
"ggplot2","9",26,0.0174807543617844
"ggplot2","10",13,0.00874037718089219
"ggplot2",">10",174,0.116986586882711
"gridExtra","0",423564,21.3843450866352
"gridExtra","1",1099411,55.5056242174563
"gridExtra","2",277005,13.9850660365928
"gridExtra","3",107441,5.42434064380629
"gridExtra","4",29598,1.49430510117533
"gridExtra","5",19498,0.984389514923866
"gridExtra","6",10677,0.539046407367018
"gridExtra","7",4208,0.212447998707541
"gridExtra","8",974,0.049174037723656
"gridExtra","9",4573,0.230875641180985
"gridExtra","10",997,0.0503352316329416
"gridExtra",">10",2774,0.140050082798174
"grid","0",609664,36.7649515309584
"grid","1",773726,46.6584854743634
"grid","2",177594,10.7095626479323
"grid","3",57785,3.48464518852422
"grid","4",14966,0.90250410818471
"grid","5",7546,0.455051182704919
"grid","6",3200,0.192971612066756
"grid","7",6691,0.403491580105833
"grid","8",240,0.0144728709050067
"grid","9",1138,0.0686255295412401
"grid","10",1930,0.116386003527762
"grid",">10",3795,0.228852271185419
"highr","0",798,8.51926977687627
"highr","1",6380,68.1114551083591
"highr","2",1485,15.853528344187
"highr","3",364,3.88598270524181
"highr","4",159,1.6974484893776
"highr","5",93,0.992847229635956
"highr","6",41,0.437706843172841
"highr","7",23,0.245542863243301
"highr","9",4,0.0427031066510089
"highr","10",2,0.0213515533255044
"highr",">10",18,0.19216397992954
"htmlwidgets","0",2745,9.50057107257813
"htmlwidgets","1",19576,67.7534350880836
"htmlwidgets","2",5523,19.1153566607829
"htmlwidgets","3",437,1.51247707057073
"htmlwidgets","4",294,1.01754750285536
"htmlwidgets","5",232,0.802962655314436
"htmlwidgets","6",38,0.13151974526702
"htmlwidgets","7",8,0.0276883674246357
"htmlwidgets","8",4,0.0138441837123179
"htmlwidgets","9",5,0.0173052296403973
"htmlwidgets","10",2,0.00692209185615893
"htmlwidgets",">10",29,0.100370331914305
"iterators","0",794,13.174050107848
"iterators","1",3808,63.1823461091754
"iterators","2",1138,18.8816990210718
"iterators","3",101,1.67579226812676
"iterators","4",71,1.17803218848515
"iterators","5",74,1.22780819644931
"iterators","6",15,0.248880039820806
"iterators","7",3,0.0497760079641613
"iterators","8",1,0.0165920026547204
"iterators","9",9,0.149328023892484
"iterators","10",2,0.0331840053094409
"iterators",">10",11,0.182512029201925
"jsonlite","0",2844,9.15883034909185
"jsonlite","1",20276,65.2969212933144
"jsonlite","2",6505,20.9487311606338
"jsonlite","3",506,1.62952466829834
"jsonlite","4",509,1.63918588174675
"jsonlite","5",238,0.766456266907124
"jsonlite","6",93,0.299497616900683
"jsonlite","7",29,0.0933917300012882
"jsonlite","8",8,0.0257632358624243
"jsonlite","9",7,0.0225428313796213
"jsonlite",">10",37,0.119154965863712
"knitr","0",3919,13.7335295766751
"knitr","1",17737,62.1565741519484
"knitr","2",5815,20.3777684328567
"knitr","3",427,1.49635548079619
"knitr","4",245,0.85856462012896
"knitr","5",174,0.609756097560976
"knitr","6",57,0.199747687132044
"knitr","7",4,0.0140173815531259
"knitr","8",14,0.0490608354359406
"knitr","9",10,0.0350434538828147
"knitr","10",41,0.14367816091954
"knitr",">10",93,0.325904121110177
"lazyeval","0",3776,19.0919203155021
"lazyeval","1",12036,60.8554960056629
"lazyeval","2",3149,15.9217312165032
"lazyeval","3",351,1.77469916068359
"lazyeval","4",149,0.753362321771666
"lazyeval","5",122,0.616847001719082
"lazyeval","6",31,0.156739811912226
"lazyeval","7",1,0.00505612296491051
"lazyeval","8",4,0.020224491859642
"lazyeval","9",7,0.0353928607543735
"lazyeval","10",45,0.227525533420973
"lazyeval",">10",107,0.541005157245424
"lme4","0",0,NA
"lme4",">10",0,NA
