"name","number","strictness_rate","percent"
"gridExtra",776,"100",47.030303030303
"gridExtra",600,NA,36.3636363636364
"highr",62,"0",13.107822410148
"highr",2,"(0,10〉",0.422832980972516
"highr",0,"(10,20〉",0
"highr",1,"(20,30〉",0.211416490486258
"highr",0,"(30,40〉",0
"highr",1,"(40,50〉",0.211416490486258
"highr",1,"(50,60〉",0.211416490486258
"highr",5,"(60,70〉",1.05708245243129
"highr",1,"(70,80〉",0.211416490486258
"highr",1,"(80,90〉",0.211416490486258
"highr",1,"(90,100)",0.211416490486258
"highr",170,"100",35.9408033826638
"highr",231,NA,48.8372093023256
"htmlwidgets",66,"0",13.8655462184874
"htmlwidgets",2,"(0,10〉",0.420168067226891
"htmlwidgets",0,"(10,20〉",0
"htmlwidgets",2,"(20,30〉",0.420168067226891
"htmlwidgets",1,"(30,40〉",0.210084033613445
"htmlwidgets",1,"(40,50〉",0.210084033613445
"htmlwidgets",1,"(50,60〉",0.210084033613445
"htmlwidgets",1,"(60,70〉",0.210084033613445
"htmlwidgets",2,"(70,80〉",0.420168067226891
"htmlwidgets",2,"(80,90〉",0.420168067226891
"htmlwidgets",0,"(90,100)",0
"htmlwidgets",187,"100",39.2857142857143
"htmlwidgets",216,NA,45.3781512605042
"iterators",49,"0",11.1111111111111
"iterators",1,"(0,10〉",0.226757369614512
"iterators",0,"(10,20〉",0
"iterators",0,"(20,30〉",0
"iterators",1,"(30,40〉",0.226757369614512
"iterators",1,"(40,50〉",0.226757369614512
"iterators",1,"(50,60〉",0.226757369614512
"iterators",0,"(60,70〉",0
"iterators",2,"(70,80〉",0.453514739229025
"iterators",2,"(80,90〉",0.453514739229025
"iterators",2,"(90,100)",0.453514739229025
"iterators",169,"100",38.3219954648526
"iterators",216,NA,48.9795918367347
"jsonlite",86,"0",14.5762711864407
"jsonlite",3,"(0,10〉",0.508474576271186
"jsonlite",1,"(10,20〉",0.169491525423729
"jsonlite",2,"(20,30〉",0.338983050847458
"jsonlite",3,"(30,40〉",0.508474576271186
"jsonlite",2,"(40,50〉",0.338983050847458
"jsonlite",1,"(50,60〉",0.169491525423729
"jsonlite",1,"(60,70〉",0.169491525423729
"jsonlite",4,"(70,80〉",0.677966101694915
"jsonlite",3,"(80,90〉",0.508474576271186
"jsonlite",1,"(90,100)",0.169491525423729
"jsonlite",232,"100",39.3220338983051
"jsonlite",259,NA,43.8983050847458
"knitr",101,"0",13.6856368563686
"knitr",2,"(0,10〉",0.2710027100271
"knitr",1,"(10,20〉",0.13550135501355
"knitr",1,"(20,30〉",0.13550135501355
"knitr",2,"(30,40〉",0.2710027100271
"knitr",5,"(40,50〉",0.677506775067751
"knitr",1,"(50,60〉",0.13550135501355
"knitr",2,"(60,70〉",0.2710027100271
