"name","type","strict","number","percent"
"ggplot2","closure",FALSE,138,17.5349428208386
"ggplot2","built-in",FALSE,0,0
"ggplot2","special",FALSE,0,0
"ggplot2","primitive",FALSE,0,0
"ggplot2","closure",TRUE,363,46.1245235069886
"ggplot2","built-in",TRUE,0,0
"ggplot2","special",TRUE,0,0
"ggplot2","primitive",TRUE,0,0
"ggplot2","closure",NA,40,5.08259212198221
"ggplot2","built-in",NA,106,13.4688691232529
"ggplot2","special",NA,22,2.79542566709022
"ggplot2","primitive",NA,159,20.2033036848793
"gridExtra","closure",FALSE,295,17.8787878787879
"gridExtra","built-in",FALSE,0,0
"gridExtra","special",FALSE,0,0
"gridExtra","primitive",FALSE,0,0
"gridExtra","closure",TRUE,853,51.6969696969697
"gridExtra","built-in",TRUE,0,0
"gridExtra","special",TRUE,0,0
