"name","no.of.force.orders","number","calls","percent","percent.calls"
"digest","2",34,3030,5.78231292517007,3.47812112585518
"digest","3",6,667,1.02040816326531,0.765645805592543
"digest","4",3,110,0.510204081632653,0.126268423710914
"digest","5",3,451,0.510204081632653,0.517700537214748
"digest","6",2,586,0.340136054421769,0.67266632995087
"digest",">10",3,292,0.510204081632653,0.335185270214427
"dplyr","0",458,NA,34.8024316109423,NA
"dplyr","1",729,320439,55.3951367781155,28.6553221855877
"dplyr","2",95,62967,7.21884498480243,5.63083667112898
"dplyr","3",17,11884,1.29179331306991,1.06272909618843
"dplyr","4",11,5277,0.835866261398176,0.471896789009285
"dplyr","5",2,446,0.151975683890578,0.0398836399276371
"dplyr","6",2,1553,0.151975683890578,0.138877338133678
"dplyr","8",1,329,0.0759878419452888,0.0294208913367547
"dplyr","9",1,1423,0.0759878419452888,0.127252061921587
"foreach","0",366,NA,44.3099273607748,NA
"foreach","1",383,248675,46.3680387409201,25.1598320890426
"foreach","2",54,48233,6.53753026634383,4.88000072846402
"foreach","3",14,7263,1.69491525423729,0.734838083694446
"foreach","4",5,5640,0.605326876513317,0.570630151732986
"foreach","5",2,261,0.242130750605327,0.0264068208514733
"foreach","6",1,6584,0.121065375302663,0.666139879257088
"foreach","10",1,58,0.121065375302663,0.0058681824114385
"forecast","0",625,NA,49.3291239147593,NA
"forecast","1",514,309617,40.568271507498,28.0829962984362
"forecast","2",89,48998,7.02446724546172,4.44423482118481
"forecast","3",17,6639,1.34175217048145,0.602173047427363
"forecast","4",9,1982,0.710339384372534,0.179772101220219
"forecast","5",7,1994,0.552486187845304,0.180860529683712
"forecast","6",4,4599,0.315706393054459,0.417140208633596
"forecast","7",1,1040,0.0789265982636148,0.0943304668360382
"forecast",">10",1,1088,0.0789265982636148,0.0986841806900092
"Formula","0",246,NA,46.8571428571429,NA
"Formula","1",232,11240,44.1904761904762,27.3100566124839
"Formula","2",36,1711,6.85714285714286,4.15725150035231
"Formula","3",6,378,1.14285714285714,0.918434288213427
"Formula","5",5,433,0.952380952380952,1.05206890686882
"gdata","0",294,NA,48.5950413223141,NA
"gdata","1",242,7773,40,29.8858087585067
"gdata","2",46,1707,7.60330578512397,6.563112768657
"gdata","3",16,440,2.64462809917355,1.69172209619747
"gdata","4",4,153,0.661157024793388,0.588257910723211
"gdata","5",2,74,0.330578512396694,0.284516897996847
"gdata","7",1,89,0.165289256198347,0.342189242185397
"ggplot2","0",334,NA,42.4396442185515,NA
"ggplot2","1",373,60212,47.3951715374841,33.5732805486632
"ggplot2","2",53,10963,6.73443456162643,6.11279935320193
"ggplot2","3",15,2118,1.90597204574333,1.18096406367615
"ggplot2","4",4,307,0.508259212198221,0.171178454933229
"ggplot2","5",4,459,0.508259212198221,0.255931305584209
"ggplot2","6",1,526,0.127064803049555,0.293289470015891
"ggplot2","7",2,2053,0.254129606099111,1.14472106833199
"ggplot2","10",1,156,0.127064803049555,0.0869831888260057
"gridExtra","0",619,NA,37.5151515151515,NA
"gridExtra","1",846,511911,51.2727272727273,17.9551303253495
"gridExtra","2",121,222306,7.33333333333333,7.79731867865146
"gridExtra","3",28,40243,1.6969696969697,1.41151159026284
"gridExtra","4",10,25830,0.606060606060606,0.90597978223515
"gridExtra","5",8,3367,0.484848484848485,0.11809655155965
"gridExtra","6",4,25849,0.242424242424242,0.906646201742021
"gridExtra","7",3,7606,0.181818181818182,0.266778251013571
"gridExtra","8",2,19271,0.121212121212121,0.675924753521238
"gridExtra","9",2,400,0.121212121212121,0.0140298843551707
"gridExtra","10",2,6336,0.121212121212121,0.222233368185904
"gridExtra",">10",5,8158,0.303030303030303,0.286139491423707
"highr","0",242,NA,51.1627906976744,NA
"highr","1",192,3059,40.5919661733615,18.1650831353919
"highr","2",26,1036,5.49682875264271,6.1520190023753
"highr","3",10,283,2.11416490486258,1.68052256532067
"highr","4",1,54,0.211416490486258,0.320665083135392
"highr","5",1,28,0.211416490486258,0.166270783847981
"highr","6",1,27,0.211416490486258,0.160332541567696
"htmlwidgets","0",220,NA,46.218487394958,NA
"htmlwidgets","1",209,13628,43.9075630252101,40.8182825650702
"htmlwidgets","2",33,1206,6.9327731092437,3.61218438314314
"htmlwidgets","3",6,498,1.26050420168067,1.49159852637254
"htmlwidgets","4",5,269,1.05042016806723,0.805702818462276
"htmlwidgets","5",1,38,0.210084033613445,0.113816755024411
"htmlwidgets","6",1,62,0.210084033613445,0.185701021355617
